#Iterations	Temperature	Chi2	Type	Histogram	Connect	Total
1	915.638	9162.3	0	5942.76	90429.3	105534
2	915.638	9102.39	0	5947.77	90429.3	105479
3	915.638	9087.45	0	5931.02	90429.3	105448
4	915.638	9103.35	0	5952.34	90429.3	105485
5	915.638	9099.33	0	5944.51	90429.3	105473
6	915.638	9114.79	0	5938.14	90429.3	105482
7	915.638	9079.42	0	5930.74	90429.3	105439
8	915.638	9029.01	0	5924.4	90429.3	105383
9	915.638	9026.68	0	5909.84	90429.3	105366
10	915.638	9008.76	0	5914.47	90429.3	105352
11	915.638	9010.76	0	5909.22	90429.3	105349
12	915.638	8948.34	0	5889.22	89204.6	104042
13	915.638	8943.95	0	5904.51	89204.6	104053
14	915.638	8932.21	0	5872.16	89204.6	104009
15	915.638	8935.87	0	5858.88	89204.6	103999
16	915.638	8844.95	0	5867.45	89204.6	103917
17	915.638	8870.19	0	5854.79	89204.6	103930
18	915.638	8857.79	0	5837.08	89204.6	103899
19	915.638	8892.14	0	5859.81	89204.6	103957
20	915.638	8904.76	0	5838.93	89204.6	103948
21	915.638	8893.35	0	5841.08	89204.6	103939
22	915.638	8933.29	0	5850.36	89204.6	103988
23	915.638	8915.33	0	5850.44	89204.6	103970
24	915.638	8837.59	0	5827.17	89204.6	103869
25	915.638	8852.53	0	5841.01	89204.6	103898
26	915.638	8771.49	0	5853.53	89204.6	103830
27	915.638	8757.78	0	5868.01	89204.6	103830
28	915.638	8745.87	0	5878.18	89204.6	103829
29	915.638	8731.57	0	5839.4	89204.6	103776
30	915.638	8723.21	0	5825.33	89204.6	103753
31	915.638	8748.27	0	5852.23	89204.6	103805
32	915.638	8718.12	0	5854.94	89204.6	103778
33	915.638	8667.03	0	5824.2	89204.6	103696
34	915.638	8653.01	0	5809.44	89204.6	103667
35	915.638	8638.18	0	5801.89	89204.6	103645
36	915.638	8650.08	0	5819.07	86895.8	101365
37	915.638	8710.35	0	5828.67	86895.8	101435
38	915.638	8717.5	0	5796.84	84752	99266.3
39	915.638	8738.47	0	5812.16	84752	99302.6
40	915.638	8733.56	0	5777.81	84752	99263.4
41	915.638	8687.07	0	5780.51	84752	99219.6
42	915.638	8699.82	0	5768.17	84752	99220
43	915.638	8700.84	0	5759.98	78265.3	92726.1
44	915.638	8799.69	0	5765.65	78265.3	92830.6
