1e-05	1007.4	158.114
0.00620707	1009.5	157.971
0.00658326	999.944	157.953
0.00695944	1010.2	157.934
0.00733563	1003.91	157.914
0.00771181	985.904	157.893
0.008088	1013.85	157.871
0.00846419	996.523	157.848
0.00884037	1002.67	157.824
0.00921656	984.524	157.799
0.00959274	1004.28	157.773
0.00996893	1000.58	157.745
0.0103451	997.319	157.717
0.0107213	990.995	157.688
0.0110975	992.327	157.657
0.0114737	996.439	157.626
0.0118499	1001.8	157.594
0.012226	996.546	157.56
0.0127903	1000.81	157.508
0.0135427	965.687	157.435
0.0142951	999.389	157.357
0.0150474	1002.96	157.276
0.0157998	1007.51	157.19
0.0165522	994.538	157.1
0.0173045	975.239	157.006
0.0180569	1007.04	156.908
0.0188092	990.535	156.806
0.0195616	979.724	156.7
0.020314	983.182	156.589
0.0212544	994.52	156.445
0.022383	984.417	156.265
0.0235115	998.291	156.075
0.0246401	991.675	155.875
0.0257686	991.395	155.667
0.0268971	984.758	155.45
0.0280257	949.672	155.223
0.0293423	972.771	154.948
0.030847	968.429	154.618
0.0323517	968.177	154.273
0.0338564	935.82	153.912
0.0353611	964.531	153.535
0.0368658	930.243	153.143
0.0385585	933.51	152.684
0.0404394	930.126	152.15
0.0423202	905.056	151.594
0.044201	917.283	151.014
0.0462699	884.082	150.349
0.0485269	875.665	149.592
0.0507839	882.903	148.804
0.0530408	877.558	147.983
0.0554858	865.151	147.059
0.0581189	839.309	146.023
0.0607519	825.271	144.947
0.0633849	810.997	143.83
0.066206	801.629	142.591
0.0692151	779.226	141.221
0.0722241	779.672	139.802
0.0754212	774.954	138.244
0.0788063	757.906	136.54
0.0823794	719.893	134.681
0.0861405	694.076	132.662
0.0899015	680.399	130.582
0.0938505	640.899	128.337
0.0979874	634.232	125.92
0.102312	594.836	123.33
0.106825	579.98	120.561
0.111526	564.289	117.613
0.116414	525.249	114.485
0.121491	489.298	111.178
0.126755	455.145	107.695
0.132207	418.135	104.041
0.138035	416.514	100.092
0.14405	366.746	95.984
0.150254	336.358	91.7274
0.156832	299.157	87.2082
0.163599	284.633	82.5701
0.170553	235.435	77.834
0.177882	206.045	72.8956
0.185586	185.654	67.7854
0.193666	150.704	62.5396
0.20212	128.389	57.2028
0.210762	100.253	51.9368
0.21959	98.8953	46.7865
0.228794	73.8249	41.6989
0.238371	57.5456	36.7545
0.248511	45.1459	31.9665
0.259212	31.5792	27.4961
0.270287	30.3858	23.6169
0.281736	14.3958	20.5571
0.293557	24.3044	18.5559
0.305939	14.8908	17.7494
0.318881	16.1266	18.0911
0.332194	8.59577	19.2569
0.346067	14.2346	20.8616
0.360498	21.3321	22.5677
0.375486	20.4456	24.1287
0.391219	25.3306	25.3945
0.407507	35.5248	26.2486
0.424351	27.9552	26.658
0.441936	25.1023	26.6436
0.452969	31.2693	26.4534
