#Iterations	Temperature	Chi2	Type	Histogram	Connect	Total
102	804.897	7435.13	0	5362.99	71571	84369.1
103	804.897	7443.19	0	5378.38	71571	84392.6
104	804.897	7447.37	0	5372.86	71571	84391.2
105	804.897	7466.35	0	5396.97	71571	84434.3
106	804.897	7458.7	0	5404	71571	84433.7
107	804.897	7440.5	0	5388.13	71571	84399.6
108	804.897	7548.12	0	5413.17	71571	84532.3
109	804.897	7596.68	0	5431.71	71571	84599.4
110	804.897	7612.47	0	5446.81	71571	84630.3
111	804.897	7608.73	0	5442.11	70911.6	83962.5
112	804.897	7506.89	0	5439.15	70911.6	83857.7
113	804.897	7486.64	0	5436.43	70911.6	83834.7
114	804.897	7532.42	0	5442.38	70911.6	83886.4
115	804.897	7450.21	0	5430.11	70911.6	83792
116	804.897	7448.25	0	5431.98	70911.6	83791.9
117	804.897	7470.82	0	5450.06	70911.6	83832.5
118	804.897	7497.58	0	5464.61	70911.6	83873.8
119	804.897	7570.41	0	5486.07	70911.6	83968.1
120	804.897	7520.82	0	5488.44	70911.6	83920.9
121	804.897	7496.46	0	5498.4	70911.6	83906.5
122	804.897	7598.08	0	5513.76	70911.6	84023.5
123	804.897	7515.43	0	5508.94	70911.6	83936
124	804.897	7507.85	0	5504.32	70911.6	83923.8
125	804.897	7518.57	0	5499.07	70911.6	83929.3
126	804.897	7583.32	0	5513.65	70266.4	83363.4
127	804.897	7555.04	0	5499.56	69634.8	82689.5
128	804.897	7513.73	0	5477.77	69634.8	82626.3
129	804.897	7461.4	0	5471.22	69016.3	81948.9
130	804.897	7476.11	0	5458.84	69016.3	81951.2
131	804.897	7490.11	0	5456.3	69016.3	81962.7
132	804.897	7509.02	0	5458.44	69016.3	81983.7
133	804.897	7481.93	0	5457.99	69016.3	81956.2
134	804.897	7397.5	0	5442.6	69016.3	81856.4
135	804.897	7345.34	0	5458.57	67816.1	80620
136	804.897	7355.71	0	5493.57	68410.2	81259.5
137	804.897	7334.17	0	5487.58	68410.2	81231.9
138	804.897	7314.1	0	5451.85	68410.2	81176.1
139	804.897	7266.14	0	5477.3	68410.2	81153.6
140	804.897	7272.13	0	5489.13	68410.2	81171.4
141	804.897	7129.81	0	5466.04	68410.2	81006
142	804.897	7141.79	0	5448.6	68410.2	81000.6
143	804.897	7089.82	0	5441.44	68410.2	80941.4
144	804.897	7089.56	0	5419.53	68410.2	80919.3
145	804.897	7043	0	5386.01	67816.1	80245.1
146	804.897	6984.72	0	5348.05	67816.1	80148.9
147	804.897	6953.14	0	5334.94	67816.1	80104.2
148	804.897	6895.06	0	5320.48	67816.1	80031.7
149	804.897	6875.17	0	5317.9	67233.6	79426.6
150	804.897	6883.4	0	5338.16	67233.6	79455.1
151	804.897	6890.73	0	5328.7	67233.6	79453
152	804.897	6888.24	0	5309.18	67233.6	79431
153	804.897	6885.78	0	5290.97	67233.6	79410.3
154	804.897	6881.55	0	5296.69	66662.1	78840.4
155	804.897	6853.01	0	5278.5	66662.1	78793.6
156	804.897	6867.7	0	5290.56	66662.1	78820.4
157	804.897	6887.91	0	5300.45	66662.1	78850.5
158	804.897	6886.51	0	5309.85	66662.1	78858.5
159	804.897	6893.98	0	5299.71	66662.1	78855.8
160	804.897	6927.77	0	5301.77	66662.1	78891.7
161	804.897	6898.61	0	5267.29	66662.1	78828
162	804.897	6853.18	0	5256.8	66662.1	78772.1
163	804.897	6859.73	0	5255.49	66662.1	78777.3
164	804.897	6861.39	0	5245.65	66662.1	78769.2
165	804.897	6844.88	0	5228.03	65010.3	77083.2
166	804.897	6746.27	0	5190	64479.3	76415.6
167	804.897	6698.24	0	5155.12	63957.6	75810.9
168	804.897	6691.15	0	5154.32	63957.6	75803.1
169	804.897	6655.18	0	5146.04	63957.6	75758.8
170	804.897	6657.67	0	5136.53	63444.8	75239
171	804.897	6691.46	0	5126.53	62940.5	74758.5
172	804.897	6675.71	0	5104.95	62940.5	74721.2
173	804.897	6722.75	0	5137.66	62940.5	74800.9
174	804.897	6864.64	0	5144.71	62940.5	74949.9
175	804.897	6884.94	0	5151.05	62940.5	74976.5
176	804.897	6944.09	0	5165.42	62940.5	75050
