#Iterations	Temperature	Chi2	Type	Histogram	Connect	Total
1	649.522	6464.63	0	5654.03	88028	100147
2	649.522	6415.82	0	5622.57	88028	100066
3	649.522	6399.41	0	5636.23	88028	100064
4	649.522	6420.41	0	5640.77	88028	100089
5	649.522	6446.89	0	5644.35	88028	100119
6	649.522	6517.6	0	5649.94	88028	100196
7	649.522	6514.44	0	5669.01	88028	100211
8	649.522	6497.85	0	5668.38	88028	100194
9	649.522	6488	0	5687.98	88028	100204
10	649.522	6287.36	0	5711.18	88028	100027
11	649.522	6349.96	0	5725.32	88028	100103
12	649.522	6403.61	0	5708.95	88028	100141
13	649.522	6407.94	0	5689.41	88028	100125
14	649.522	6421.98	0	5698.32	88028	100148
15	649.522	6426.08	0	5666.34	88028	100120
16	649.522	6417.77	0	5678.18	88028	100124
17	649.522	6429.44	0	5659.71	88028	100117
18	649.522	6451.32	0	5655.13	88028	100134
19	649.522	6556.61	0	5674.9	88028	100259
20	649.522	6587.96	0	5652.03	88028	100268
21	649.522	6594.85	0	5624.17	88028	100247
22	649.522	6643.58	0	5629.68	88028	100301
23	649.522	6642.59	0	5630.59	88028	100301
24	649.522	6568.19	0	5614.16	88028	100210
25	649.522	6613.42	0	5624.92	88028	100266
26	649.522	6583.44	0	5619.76	88028	100231
27	649.522	6601.4	0	5604.92	88028	100234
28	649.522	6597.47	0	5604.28	88028	100230
29	649.522	6593.29	0	5631.68	88028	100253
30	649.522	6605.88	0	5631.9	88028	100266
31	649.522	6534.41	0	5615.05	88028	100177
32	649.522	6553.92	0	5617.65	88028	100200
33	649.522	6554.01	0	5603.11	88028	100185
34	649.522	6570.27	0	5605.82	88028	100204
35	649.522	6559.51	0	5575.03	86895.8	99030.3
36	649.522	6496.1	0	5544.79	86895.8	98936.7
37	649.522	6470.89	0	5557.73	86895.8	98924.4
38	649.522	6522.41	0	5541.46	86895.8	98959.6
39	649.522	6557.87	0	5557.64	86895.8	99011.3
40	649.522	6554.8	0	5549.14	86895.8	98999.7
41	649.522	6690.81	0	5549.54	86895.8	99136.1
42	649.522	6701.07	0	5536.43	86895.8	99133.3
43	649.522	6705.62	0	5519.26	86895.8	99120.7
44	649.522	6748.8	0	5488.66	86895.8	99133.2
45	649.522	6761.62	0	5498.68	86895.8	99156.1
46	649.522	6766.93	0	5509.76	86895.8	99172.5
47	649.522	6738.2	0	5489	86895.8	99123
48	649.522	6729.35	0	5496.2	86895.8	99121.3
49	649.522	6724.63	0	5499.16	86895.8	99119.6
50	649.522	6742.09	0	5482.75	86895.8	99120.6
51	649.522	6669.06	0	5488.64	86895.8	99053.5
52	649.522	6686.76	0	5481.05	86895.8	99063.6
53	649.522	6675.72	0	5461.35	86895.8	99032.8
54	649.522	6688.83	0	5476.54	86895.8	99061.1
55	649.522	6674.62	0	5456.1	86895.8	99026.5
56	649.522	6664.88	0	5465.28	86895.8	99025.9
57	649.522	6639.07	0	5463.96	86895.8	98998.8
58	649.522	6603.98	0	5433.75	86895.8	98933.5
59	649.522	6598.89	0	5420.6	86895.8	98915.3
60	649.522	6608.98	0	5404.37	86895.8	98909.1
61	649.522	6616.37	0	5426.84	86895.8	98939
62	649.522	6632.27	0	5404.75	86895.8	98932.8
63	649.522	6666.65	0	5398.42	86895.8	98960.8
64	649.522	6690.09	0	5376.59	86895.8	98962.5
65	649.522	6658.15	0	5370.16	86895.8	98924.1
66	649.522	6694.52	0	5341.78	86895.8	98932.1
67	649.522	6714.7	0	5336.15	86895.8	98946.6
68	649.522	6712.13	0	5376.99	86895.8	98984.9
69	649.522	6705.72	0	5371.17	86895.8	98972.7
70	649.522	6607.59	0	5369.56	86895.8	98872.9
71	649.522	6541.43	0	5385.57	86895.8	98822.8
72	649.522	6557.54	0	5362.26	86895.8	98815.6
73	649.522	6454.83	0	5344.78	85804.7	97604.3
74	649.522	6418.2	0	5342.39	85804.7	97565.3
75	649.522	6417.96	0	5369.74	85804.7	97592.4
76	649.522	6402.79	0	5369.78	85804.7	97577.3
77	649.522	6411.37	0	5337.67	85804.7	97553.8
78	649.522	6440.74	0	5361.69	85804.7	97607.2
79	649.522	6424.89	0	5366.56	85804.7	97596.2
80	649.522	6420.98	0	5364.89	85804.7	97590.6
81	649.522	6371.58	0	5373.15	85804.7	97549.5
82	649.522	6378.35	0	5412.99	85804.7	97596.1
83	649.522	6369.89	0	5399.41	85804.7	97574
84	649.522	6345.37	0	5362.24	84752	96459.6
85	649.522	6297.64	0	5340.1	84752	96389.7
86	649.522	6438.87	0	5325.22	84752	96516.1
87	649.522	6534.62	0	5339.55	84752	96626.2
88	649.522	6521.24	0	5326.95	84752	96600.2
89	649.522	6541.25	0	5322.28	84752	96615.5
90	649.522	6496.05	0	5278.15	83735	95509.1
91	649.522	6487.97	0	5277.9	83735	95500.8
92	649.522	6550.14	0	5298.96	83735	95584.1
93	649.522	6490.16	0	5258.5	82751.3	94499.9
94	649.522	6507.55	0	5280.11	82751.3	94538.9
95	649.522	6507.42	0	5280.48	82751.3	94539.2
96	649.522	6511.55	0	5272.98	82751.3	94535.8
97	649.522	6517.93	0	5258.24	82751.3	94527.4
98	649.522	6466.48	0	5256.55	81798.8	93521.8
99	649.522	6469.67	0	5282.53	81798.8	93551
100	649.522	6334.38	0	5283.63	81798.8	93416.8
101	649.522	6383.57	0	5308.47	81798.8	93490.8
102	649.522	6390.31	0	5280.1	81798.8	93469.2
103	649.522	6399.96	0	5265.25	81798.8	93464
104	649.522	6461.37	0	5274.7	81798.8	93534.9
105	649.522	6474.63	0	5307.92	81798.8	93581.4
106	649.522	6463.03	0	5277.95	81798.8	93539.8
107	649.522	6453.82	0	5285.52	81798.8	93538.1
108	649.522	6345.26	0	5311.11	81798.8	93455.2
109	649.522	6397.95	0	5309.42	81798.8	93506.2
110	649.522	6415.63	0	5322.81	81798.8	93537.2
111	649.522	6431.79	0	5307.85	81798.8	93538.4
112	649.522	6442.29	0	5320.36	81798.8	93561.4
113	649.522	6413.6	0	5291.17	78265.3	89970.1
114	649.522	6397.91	0	5263.46	78265.3	89926.7
115	649.522	6379.83	0	5246.99	78265.3	89892.1
116	649.522	6394.22	0	5253.18	78265.3	89912.7
117	649.522	6430.76	0	5268.39	78265.3	89964.5
118	649.522	6295.2	0	5236.23	77443.3	88974.8
119	649.522	6301.83	0	5228.49	77443.3	88973.7
120	649.522	6297.02	0	5239.25	77443.3	88979.6
121	649.522	6280.8	0	5227.64	77443.3	88951.8
122	649.522	6311.28	0	5219	77443.3	88973.6
123	649.522	6315.98	0	5239.59	77443.3	88998.9
124	649.522	6202.09	0	5238.52	77443.3	88883.9
125	649.522	6171.06	0	5247.41	77443.3	88861.8
126	649.522	6098.45	0	5211.11	77443.3	88752.9
