#Iterations	Temperature	Chi2	Type	Histogram	Connect	Total
1	728.04	7295.25	0	6389.43	111224	124908
2	728.04	7292.25	0	6389.75	111224	124906
3	728.04	7232.65	0	6386.47	111224	124843
4	728.04	7223.43	0	6366.11	111224	124813
5	728.04	7237.58	0	6348.31	111224	124810
6	728.04	7244.57	0	6336.36	111224	124805
7	728.04	7239.21	0	6318.77	111224	124782
8	728.04	7348.73	0	6321.14	111224	124894
9	728.04	7358.02	0	6329.07	111224	124911
10	728.04	7382.34	0	6335.56	111224	124942
11	728.04	7358.35	0	6315.25	111224	124897
12	728.04	7367.67	0	6315.96	111224	124907
13	728.04	7368.69	0	6318.88	111224	124911
14	728.04	7358.91	0	6295.5	111224	124878
15	728.04	7372.95	0	6299.26	111224	124896
16	728.04	7299.31	0	6276.31	111224	124799
17	728.04	7279.08	0	6269.59	111224	124772
18	728.04	7273.25	0	6237.42	111224	124734
19	728.04	7258.49	0	6248.98	111224	124731
20	728.04	7216.26	0	6244.63	111224	124685
21	728.04	7199.29	0	6234.83	108822	122257
22	728.04	7129.18	0	6217	108822	122169
23	728.04	7174.05	0	6253.8	108822	122250
24	728.04	7223.75	0	6239.41	106599	120062
25	728.04	7243.13	0	6246.59	106599	120089
26	728.04	7237.55	0	6249.37	106599	120086
27	728.04	7232.1	0	6236.2	106599	120067
28	728.04	7248.5	0	6210.04	106599	120058
29	728.04	7259.58	0	6194.7	106599	120053
30	728.04	7256.08	0	6174.69	104529	117960
31	728.04	7232.74	0	6158.91	104529	117921
32	728.04	7171.38	0	6126.31	104529	117827
33	728.04	7176.18	0	6095.86	104529	117801
34	728.04	7177.05	0	6083.51	104529	117790
35	728.04	7153.94	0	6060.87	104529	117744
36	728.04	7141.26	0	6046.4	104529	117717
37	728.04	7111.34	0	6029.1	104529	117670
38	728.04	7102.95	0	6002.66	104529	117635
39	728.04	7101.87	0	5984.19	104529	117615
40	728.04	7136.18	0	6010.7	104529	117676
41	728.04	7126.2	0	5997.08	104529	117653
42	728.04	7097.46	0	5986.6	104529	117613
43	728.04	7080.26	0	5975.84	104529	117585
44	728.04	7042.46	0	5964.64	104529	117536
45	728.04	6944.29	0	5992.9	104529	117467
46	728.04	6952.77	0	5964.42	104529	117447
47	728.04	7019.88	0	5984.58	104529	117534
48	728.04	6980.6	0	5974.39	104529	117484
49	728.04	6974.44	0	5969.94	104529	117474
50	728.04	6979.04	0	5969.3	104529	117478
51	728.04	6943.43	0	5927.77	104529	117401
52	728.04	6924.47	0	5952.72	104529	117407
53	728.04	6940.63	0	5953.96	104529	117424
54	728.04	6937.87	0	5931.63	104529	117399
55	728.04	6852.15	0	5903.85	104529	117285
56	728.04	6886.46	0	5933.94	104529	117350
57	728.04	6908.09	0	5946.83	104529	117384
58	728.04	6903.22	0	5975.17	104529	117408
59	728.04	6882.83	0	5974.67	104529	117387
60	728.04	6874.96	0	5946.58	104529	117351
61	728.04	6871.05	0	5931.79	104529	117332
62	728.04	6865.03	0	5932.96	104529	117327
63	728.04	6873.62	0	5907.02	104529	117310
64	728.04	6845.45	0	5896.41	104529	117271
65	728.04	6830.92	0	5874.58	104529	117235
66	728.04	6783.05	0	5865.64	104529	117178
67	728.04	6787.19	0	5893.26	104529	117210
68	728.04	6630.78	0	5881.96	104529	117042
69	728.04	6683.51	0	5893.08	104529	117106
70	728.04	6658.47	0	5895.45	104529	117083
71	728.04	6623.05	0	5887.24	104529	117040
72	728.04	6646.95	0	5900.94	104529	117077
73	728.04	6688.8	0	5905.37	104529	117124
74	728.04	6704.53	0	5891.36	104529	117125
75	728.04	6756.25	0	5866.08	104529	117152
76	728.04	6780.35	0	5843.28	104529	117153
77	728.04	6746.78	0	5825.26	104529	117101
78	728.04	6756.48	0	5812.85	104529	117099
79	728.04	6781.53	0	5840.61	104529	117152
80	728.04	6818.08	0	5866.05	104529	117213
81	728.04	6826.92	0	5852.32	104529	117209
82	728.04	6814.14	0	5840.07	95898.9	108553
83	728.04	6821.66	0	5832.46	95898.9	108553
84	728.04	6819.49	0	5819	95898.9	108537
85	728.04	6826.21	0	5813.44	95898.9	108539
86	728.04	6832.71	0	5825.58	95898.9	108557
87	728.04	6838.8	0	5831.83	95898.9	108570
88	728.04	6848.11	0	5831.25	95898.9	108578
89	728.04	6827.94	0	5826.5	95898.9	108553
90	728.04	6795.12	0	5807.67	95898.9	108502
91	728.04	6784.51	0	5802.93	95898.9	108486
92	728.04	6763.64	0	5811.69	95898.9	108474
93	728.04	6761.4	0	5811.58	95898.9	108472
94	728.04	6763.92	0	5814.78	95898.9	108478
95	728.04	6720.81	0	5800.6	95898.9	108420
96	728.04	6731.39	0	5824.88	95898.9	108455
97	728.04	6712.09	0	5802.03	95898.9	108413
98	728.04	6745.8	0	5789.55	95898.9	108434
99	728.04	6788.44	0	5794.41	95898.9	108482
100	728.04	6806.13	0	5786.23	95898.9	108491
101	728.04	6736.67	0	5778.16	95898.9	108414
102	728.04	6719.4	0	5787.83	95898.9	108406
103	728.04	6745.04	0	5786.56	95898.9	108431
104	728.04	6729.89	0	5788.29	95898.9	108417
105	728.04	6681.49	0	5779.61	95898.9	108360
106	728.04	6649.21	0	5750.15	95898.9	108298
107	728.04	6609.5	0	5763.42	95898.9	108272
108	728.04	6614.43	0	5750.09	95898.9	108263
109	728.04	6613.31	0	5751.94	95898.9	108264
110	728.04	6617.69	0	5772.44	95898.9	108289
111	728.04	6571.82	0	5751.72	95898.9	108222
112	728.04	6585.83	0	5732.96	95898.9	108218
113	728.04	6493.95	0	5707.01	95898.9	108100
114	728.04	6536.06	0	5709.98	95898.9	108145
115	728.04	6527.27	0	5713.34	95898.9	108140
116	728.04	6521.18	0	5702.31	95898.9	108122
117	728.04	6499.05	0	5683.39	95898.9	108081
118	728.04	6499.46	0	5700.59	95898.9	108099
119	728.04	6490.88	0	5670.49	95898.9	108060
120	728.04	6512.1	0	5688.56	95898.9	108100
121	728.04	6535.7	0	5682.14	95898.9	108117
122	728.04	6553.72	0	5684.4	95898.9	108137
123	728.04	6561.49	0	5651.41	95898.9	108112
124	728.04	6566.76	0	5626.96	95898.9	108093
125	728.04	6557.15	0	5652.56	95898.9	108109
126	728.04	6492.62	0	5656.61	95898.9	108048
127	728.04	6477.67	0	5658.44	95898.9	108035
128	728.04	6488.69	0	5648.22	95898.9	108036
129	728.04	6449.39	0	5662.51	95898.9	108011
130	728.04	6459.71	0	5661.65	95898.9	108020
131	728.04	6448.44	0	5644.12	95898.9	107991
132	728.04	6460.88	0	5649.84	95898.9	108010
133	728.04	6453.08	0	5650.98	95898.9	108003
134	728.04	6503.27	0	5663.57	95898.9	108066
135	728.04	6488.67	0	5654.76	95898.9	108042
136	728.04	6474.88	0	5649.94	95898.9	108024
137	728.04	6562.44	0	5672.79	95898.9	108134
138	728.04	6587.57	0	5660.95	95898.9	108147
139	728.04	6624.41	0	5658.01	95898.9	108181
140	728.04	6658.37	0	5644.87	95898.9	108202
141	728.04	6682.85	0	5642.78	95898.9	108225
142	728.04	6726.38	0	5629.33	95898.9	108255
143	728.04	6737.35	0	5623	95898.9	108259
144	728.04	6746.63	0	5630.57	95898.9	108276
145	728.04	6761.53	0	5636.33	95898.9	108297
146	728.04	6727.82	0	5623.23	95898.9	108250
147	728.04	6745.7	0	5622.82	95898.9	108267
148	728.04	6795.31	0	5611.1	95898.9	108305
149	728.04	6808.68	0	5606.5	95898.9	108314
150	728.04	6853.71	0	5587.13	95898.9	108340
151	728.04	6832.53	0	5609.63	95898.9	108341
152	728.04	6870.09	0	5611.15	95898.9	108380
153	728.04	6941.45	0	5641.07	95898.9	108481
154	728.04	6944.47	0	5628.11	95898.9	108471
155	728.04	6924.21	0	5621.42	95898.9	108445
156	728.04	6949.18	0	5620.22	95898.9	108468
157	728.04	6961.06	0	5638.63	95898.9	108499
158	728.04	6961.02	0	5629.89	95898.9	108490
159	728.04	6951.29	0	5636.11	95898.9	108486
160	728.04	6913.65	0	5625.67	95898.9	108438
161	728.04	6821.07	0	5622.68	95898.9	108343
162	728.04	6913.25	0	5638.32	95898.9	108450
163	728.04	6949.56	0	5636.12	95898.9	108485
164	728.04	6946.89	0	5649.41	95898.9	108495
165	728.04	6952.92	0	5641.35	95898.9	108493
166	728.04	6960.39	0	5620.95	95898.9	108480
167	728.04	6971.38	0	5613.13	95898.9	108483
168	728.04	7126.77	0	5615.94	95898.9	108642
169	728.04	7096.18	0	5570.83	95898.9	108566
170	728.04	7063.46	0	5553.52	95898.9	108516
171	728.04	7084.29	0	5568.51	95898.9	108552
172	728.04	7149.43	0	5571.91	95898.9	108620
173	728.04	7106.73	0	5554.59	95898.9	108560
174	728.04	7094.91	0	5527.68	95898.9	108521
175	728.04	7113.48	0	5507.12	95898.9	108520
176	728.04	7069.55	0	5489.97	95898.9	108458
177	728.04	7066.41	0	5471.03	95898.9	108436
178	728.04	7092.11	0	5481.56	95898.9	108473
179	728.04	7073.09	0	5473.81	95898.9	108446
180	728.04	7002.54	0	5493.05	95898.9	108394
181	728.04	7015.23	0	5490.33	95898.9	108404
182	728.04	7024.78	0	5512.66	95898.9	108436
183	728.04	6992.54	0	5471.81	95898.9	108363
184	728.04	7001.54	0	5480.72	95898.9	108381
185	728.04	6969.83	0	5485.29	95898.9	108354
186	728.04	7041.09	0	5478.59	95898.9	108419
187	728.04	7046.94	0	5493.41	95898.9	108439
188	728.04	7058.4	0	5531.13	95898.9	108488
189	728.04	7005.51	0	5523.2	95898.9	108428
190	728.04	7010.44	0	5507.68	95898.9	108417
191	728.04	7079.26	0	5517.81	95898.9	108496
192	728.04	7145.46	0	5518.75	95898.9	108563
193	728.04	7143.8	0	5544.29	95898.9	108587
194	728.04	7137.04	0	5542.71	95898.9	108579
195	728.04	7223.48	0	5538.16	95898.9	108661
196	728.04	7188.35	0	5527.17	95898.9	108614
197	728.04	7188.46	0	5532.06	95898.9	108619
198	728.04	7185.48	0	5541.54	95898.9	108626
199	728.04	7231.53	0	5541.27	95898.9	108672
200	728.04	7318.56	0	5537.24	95898.9	108755
201	728.04	7268.86	0	5532.52	95898.9	108700
202	728.04	7245.87	0	5517.48	95898.9	108662
203	728.04	7250.12	0	5517.85	95898.9	108667
204	728.04	7230.57	0	5514.17	94435.2	107180
205	728.04	7199.17	0	5462.82	73640.8	86302.8
206	728.04	7178.92	0	5435.76	73640.8	86255.5
207	728.04	7164.45	0	5424.22	72934.9	85523.5
208	728.04	7177.39	0	5419.49	72934.9	85531.8
209	728.04	7224.38	0	5419.18	72245.2	84888.7
210	728.04	7097.81	0	5432.88	72245.2	84775.9
211	728.04	7078.06	0	5452.87	72245.2	84776.1
212	728.04	7066.18	0	5421.88	72245.2	84733.2
213	728.04	7065.61	0	5416.19	72245.2	84727
214	728.04	7087.22	0	5412.75	71571	84071
215	728.04	7107.68	0	5454.46	71571	84133.1
216	728.04	7092.94	0	5435.22	65550.9	78079
217	728.04	7118.34	0	5423.76	66101.4	78643.4
218	728.04	7112.23	0	5393.15	66101.4	78606.7
219	728.04	7093.15	0	5366.18	66101.4	78560.7
220	728.04	7057.05	0	5339.32	65550.9	77947.3
221	728.04	7054.07	0	5329.56	65550.9	77934.5
222	728.04	7059.91	0	5345.37	65550.9	77956.2
223	728.04	7048	0	5362.45	65550.9	77961.3
224	728.04	7035.81	0	5378.75	65550.9	77965.4
225	728.04	7012.2	0	5380.63	65550.9	77943.7
